precinct_id;new_electorate;total_votes;invalid_votes;valid_votes;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;M. Moderaterne;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;Æ. Danmarksdemokraterne - Inger Støjberg;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Andre
A10101;;;;;;;;;;;;;;;;
A10102;;;;;;;;;;;;;;;;
A10103;;;;;;;;;;;;;;;;
A10104;;;;;;;;;;;;;;;;
A10105;;;;;;;;;;;;;;;;
A10107;;;;;;;;;;;;;;;;
A10108;;;;;;;;;;;;;;;;
A10109;;;;;;;;;;;;;;;;
A10110;;;;;;;;;;;;;;;;
A10112;;;;;;;;;;;;;;;;
A10113;;;;;;;;;;;;;;;;
A10114;;;;;;;;;;;;;;;;
A10115;;;;;;;;;;;;;;;;
A10116;;;;;;;;;;;;;;;;
A10117;;;;;;;;;;;;;;;;
A10118;;;;;;;;;;;;;;;;
A10119;;;;;;;;;;;;;;;;
A10120;;;;;;;;;;;;;;;;
A10121;;;;;;;;;;;;;;;;
A10122;;;;;;;;;;;;;;;;
A10123;;;;;;;;;;;;;;;;
A10124;;;;;;;;;;;;;;;;
A10125;;;;;;;;;;;;;;;;
A10127;;;;;;;;;;;;;;;;
A10128;;;;;;;;;;;;;;;;
A10129;;;;;;;;;;;;;;;;
A10130;;;;;;;;;;;;;;;;
A10132;;;;;;;;;;;;;;;;
A10133;;;;;;;;;;;;;;;;
A10134;;;;;;;;;;;;;;;;
A10135;;;;;;;;;;;;;;;;
A10136;;;;;;;;;;;;;;;;
A10137;;;;;;;;;;;;;;;;
A10138;;;;;;;;;;;;;;;;
A10139;;;;;;;;;;;;;;;;
A10140;;;;;;;;;;;;;;;;
A10141;;;;;;;;;;;;;;;;
A10142;;;;;;;;;;;;;;;;
A10143;;;;;;;;;;;;;;;;
A10144;;;;;;;;;;;;;;;;
A10145;;;;;;;;;;;;;;;;
A10146;;;;;;;;;;;;;;;;
A10147;;;;;;;;;;;;;;;;
A10148;;;;;;;;;;;;;;;;
A10149;;;;;;;;;;;;;;;;
A10150;;;;;;;;;;;;;;;;
A10151;;;;;;;;;;;;;;;;
A10152;;;;;;;;;;;;;;;;
A10153;;;;;;;;;;;;;;;;
A10106;;;;;;;;;;;;;;;;
A10111;;;;;;;;;;;;;;;;
A10126;3338;1968;37;1931;140;193;74;599;89;52;69;82;29;452;152;0
A10131;;;;;;;;;;;;;;;;
A11101;;;;;;;;;;;;;;;;
A11102;;;;;;;;;;;;;;;;
A11103;;;;;;;;;;;;;;;;
A11104;;;;;;;;;;;;;;;;
A11105;;;;;;;;;;;;;;;;
A11106;;;;;;;;;;;;;;;;
A11107;;;;;;;;;;;;;;;;
A11108;;;;;;;;;;;;;;;;
A15101;;;;;;;;;;;;;;;;
A15102;;;;;;;;;;;;;;;;
A15103;;;;;;;;;;;;;;;;
A15104;;;;;;;;;;;;;;;;
A15105;;;;;;;;;;;;;;;;
A15106;;;;;;;;;;;;;;;;
A15107;;;;;;;;;;;;;;;;
A15108;;;;;;;;;;;;;;;;
A15109;;;;;;;;;;;;;;;;
A15301;;;;;;;;;;;;;;;;
A15302;;;;;;;;;;;;;;;;
A15303;;;;;;;;;;;;;;;;
A15304;;;;;;;;;;;;;;;;
A15305;;;;;;;;;;;;;;;;
A15306;;;;;;;;;;;;;;;;
A15501;;;;;;;;;;;;;;;;
A15502;;;;;;;;;;;;;;;;
A15701;;;;;;;;;;;;;;;;
A15702;;;;;;;;;;;;;;;;
A15703;;;;;;;;;;;;;;;;
A15704;;;;;;;;;;;;;;;;
A15705;;;;;;;;;;;;;;;;
A15706;1152;909;10;899;78;141;104;186;71;111;22;102;8;55;21;0
A15707;;;;;;;;;;;;;;;;
A15708;;;;;;;;;;;;;;;;
A15709;;;;;;;;;;;;;;;;
A15710;;;;;;;;;;;;;;;;
A15901;;;;;;;;;;;;;;;;
A15902;;;;;;;;;;;;;;;;
A15903;;;;;;;;;;;;;;;;
A15904;;;;;;;;;;;;;;;;
A15905;;;;;;;;;;;;;;;;
A15906;;;;;;;;;;;;;;;;
A15907;;;;;;;;;;;;;;;;
A15908;;;;;;;;;;;;;;;;
A15909;;;;;;;;;;;;;;;;
A16101;;;;;;;;;;;;;;;;
A16102;;;;;;;;;;;;;;;;
A16103;;;;;;;;;;;;;;;;
A16104;;;;;;;;;;;;;;;;
A16105;;;;;;;;;;;;;;;;
A16106;;;;;;;;;;;;;;;;
A16301;;;;;;;;;;;;;;;;
A16302;;;;;;;;;;;;;;;;
A16303;;;;;;;;;;;;;;;;
A16501;1679;683;22;661;141;35;28;134;18;21;74;29;33;115;33;0
A16502;;;;;;;;;;;;;;;;
A16503;;;;;;;;;;;;;;;;
A16504;;;;;;;;;;;;;;;;
A16505;;;;;;;;;;;;;;;;
A16701;;;;;;;;;;;;;;;;
A16702;;;;;;;;;;;;;;;;
A16703;;;;;;;;;;;;;;;;
A16704;;;;;;;;;;;;;;;;
A16705;;;;;;;;;;;;;;;;
A16706;;;;;;;;;;;;;;;;
A16707;;;;;;;;;;;;;;;;
A16708;;;;;;;;;;;;;;;;
A16901;;;;;;;;;;;;;;;;
A16902;;;;;;;;;;;;;;;;
A16903;;;;;;;;;;;;;;;;
A16904;;;;;;;;;;;;;;;;
A16905;;;;;;;;;;;;;;;;
A16906;2955;809;30;779;184;55;23;104;39;25;86;50;32;164;17;0
A16907;3062;1591;39;1552;329;94;130;239;87;116;132;152;76;159;38;0
A16908;;;;;;;;;;;;;;;;
A16909;;;;;;;;;;;;;;;;
A16910;;;;;;;;;;;;;;;;
A16911;;;;;;;;;;;;;;;;
A17301;;;;;;;;;;;;;;;;
A17302;;;;;;;;;;;;;;;;
A17303;;;;;;;;;;;;;;;;
A17304;;;;;;;;;;;;;;;;
A17305;1937;776;18;758;126;46;84;117;50;28;72;77;32;98;28;0
A17306;;;;;;;;;;;;;;;;
A17307;;;;;;;;;;;;;;;;
A17308;;;;;;;;;;;;;;;;
A17309;;;;;;;;;;;;;;;;
A17501;;;;;;;;;;;;;;;;
A17502;1862;1125;32;1093;151;78;144;154;70;91;89;166;54;80;16;0
A17503;2705;1247;35;1212;197;67;109;182;64;79;147;113;84;139;31;0
A17504;3914;2342;64;2278;390;166;269;367;162;134;218;290;128;111;43;0
A17505;716;493;13;480;68;45;46;78;40;35;36;54;30;32;16;0
A17506;;;;;;;;;;;;;;;;
A17507;;;;;;;;;;;;;;;;
A18301;;;;;;;;;;;;;;;;
A18302;2522;1642;30;1612;320;102;167;346;98;89;139;169;60;80;42;0
A18303;;;;;;;;;;;;;;;;
A18304;;;;;;;;;;;;;;;;
A18305;;;;;;;;;;;;;;;;
A18501;;;;;;;;;;;;;;;;
A18502;;;;;;;;;;;;;;;;
A18503;;;;;;;;;;;;;;;;
A18504;;;;;;;;;;;;;;;;
A18505;2392;1249;32;1217;228;75;104;189;94;75;104;164;55;99;30;0
