precinct_id;precinct_name;Adm0;Adm1;Adm2;new_electorate;past_electorate;total_votes;invalid_votes;valid_votes;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;M. Moderaterne;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;Æ. Danmarksdemokraterne - Inger Støjberg;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Andre
A10101;1. Østerbro;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;11114;11022;9742;148;9594;1665;823;520;1148;1046;1068;87;946;83;1121;848;239
A10102;1. Nord;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;6176;6071;5213;54;5159;878;390;382;520;552;625;80;642;85;482;380;143
A10103;1. Syd;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;11392;11124;10110;109;10001;1622;964;515;1260;878;1064;89;874;87;1305;1135;208
A10104;1. Vest;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;11184;10900;9057;153;8904;1789;691;426;1072;730;881;156;693;119;1160;821;366
A10105;1. Nordvest;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;9654;9550;8078;130;7948;1538;700;441;847;761;818;122;623;113;979;714;292
A10107;1. Øst;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;8090;7821;6975;82;6893;922;619;465;638;1035;941;51;973;71;548;480;150
A10108;2. Sundbyvester;HELE LANDET;KØBENHAVNS STORKREDS;2. SUNDBYVESTER;9449;9512;7376;179;7197;1841;472;227;851;440;529;185;511;191;932;550;468
A10109;2. Nord;HELE LANDET;KØBENHAVNS STORKREDS;2. SUNDBYVESTER;13153;13144;10614;197;10417;2013;799;360;1316;778;911;161;689;182;1654;999;555
A10110;2. Syd;HELE LANDET;KØBENHAVNS STORKREDS;2. SUNDBYVESTER;12908;12600;9938;188;9750;1641;732;513;1033;1238;1056;106;1005;177;995;757;497
A10112;2. Vest;HELE LANDET;KØBENHAVNS STORKREDS;2. SUNDBYVESTER;10932;10582;9338;126;9212;1491;728;547;1025;1067;1088;95;989;122;1050;814;196
A10113;2. Øst;HELE LANDET;KØBENHAVNS STORKREDS;2. SUNDBYVESTER;7629;7818;6563;100;6463;1226;532;246;842;421;587;94;470;140;901;651;353
A10114;3. Indre By;HELE LANDET;KØBENHAVNS STORKREDS;3. INDRE BY;14882;14528;11290;122;11168;1335;1093;633;1126;1331;1230;89;963;90;1701;1266;311
A10115;3. Nord;HELE LANDET;KØBENHAVNS STORKREDS;3. INDRE BY;6418;6329;5732;62;5670;815;525;361;601;624;625;43;620;55;721;580;100
A10116;3. Syd;HELE LANDET;KØBENHAVNS STORKREDS;3. INDRE BY;9561;9429;8279;87;8192;1310;593;283;890;596;737;68;563;96;1531;1318;207
A10117;3. Øst;HELE LANDET;KØBENHAVNS STORKREDS;3. INDRE BY;11989;11689;10193;152;10041;1409;816;734;916;1412;1255;90;1149;97;1045;904;214
A10118;4. Sundbyøster;HELE LANDET;KØBENHAVNS STORKREDS;4. SUNDBYØSTER;11079;11045;9014;171;8843;1802;634;384;995;803;924;162;717;170;1091;806;355
A10119;4. Nord;HELE LANDET;KØBENHAVNS STORKREDS;4. SUNDBYØSTER;14526;14277;11666;198;11468;2183;837;419;1373;903;1008;176;836;233;1797;1192;511
A10120;4. Syd;HELE LANDET;KØBENHAVNS STORKREDS;4. SUNDBYØSTER;8055;8064;6705;115;6590;1582;411;267;880;478;558;136;527;161;779;573;238
A10121;4. Øst;HELE LANDET;KØBENHAVNS STORKREDS;4. SUNDBYØSTER;9381;9353;7914;104;7810;1682;604;378;942;691;846;115;729;175;759;658;231
A10122;5. Nørrebro;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;6347;6295;5254;95;5159;818;368;105;690;195;353;41;212;60;1271;814;232
A10123;5. Nord;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;10072;9966;8437;141;8296;907;804;232;1039;544;658;64;484;64;1843;1266;391
A10124;5. Syd;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;5927;5860;4935;78;4857;609;389;134;513;238;320;43;273;38;1219;733;348
A10125;5. Øst;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;6627;6517;5734;58;5676;672;523;171;685;445;513;26;327;33;1190;944;147
A10127;5. Vest;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;6902;6786;5857;80;5777;837;455;137;814;301;383;55;295;60;1361;829;250
A10128;5. Nordvest;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;9817;9766;8355;124;8231;932;773;184;1099;405;568;62;393;53;2127;1315;320
A10129;5. Nørrebrohallen;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;9381;9339;7459;132;7327;885;655;160;854;370;484;61;336;50;1739;1046;687
A10130;6. Bispebjerg;HELE LANDET;KØBENHAVNS STORKREDS;6. BISPEBJERG;10449;10076;8016;132;7884;1113;644;217;955;451;509;110;389;119;1818;1015;544
A10132;6. Nord;HELE LANDET;KØBENHAVNS STORKREDS;6. BISPEBJERG;7342;7232;5650;119;5531;1259;333;182;737;279;376;125;300;140;961;524;315
A10133;6. Øst;HELE LANDET;KØBENHAVNS STORKREDS;6. BISPEBJERG;4167;4120;3215;44;3171;798;172;125;375;211;225;97;214;81;451;217;205
