id;name;Adm0;Adm1;Adm2;electorate;total_votes;invalid_votes;valid_votes;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;M. Moderaterne;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;Æ. Danmarksdemokraterne - Inger Støjberg;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Andre
Adm0;HELE LANDET;HELE LANDET;;;4301255;2496387;60920;2435467;360925;159882;207725;413232;172160;147067;171442;372680;195025;170374;64955;0
Adm1;KØBENHAVNS STORKREDS;HELE LANDET;KØBENHAVNS STORKREDS;;556737;349068;6839;342229;30507;35971;24045;94888;19403;15273;14492;24439;5865;57135;20211;0
Adm1;KØBENHAVNS OMEGNS STORKREDS;HELE LANDET;KØBENHAVNS OMEGNS STORKREDS;;375739;210839;5376;205463;32950;16823;21529;36038;14139;14871;14610;23318;6943;18191;6051;0
Adm1;NORDSJÆLLANDS STORKREDS;HELE LANDET;NORDSJÆLLANDS STORKREDS;;345216;227465;3857;223608;29619;20943;27054;39702;18604;18104;12728;32682;8097;11836;4239;0
Adm1;BORNHOLMS STORKREDS;HELE LANDET;BORNHOLMS STORKREDS;;30520;16785;532;16253;3158;707;1207;2710;667;831;1377;2925;1243;1143;285;0
Adm1;SJÆLLANDS STORKREDS;HELE LANDET;SJÆLLANDS STORKREDS;;638710;354771;9222;345549;57641;16593;28433;57377;22632;24190;32208;54236;28050;17963;6226;0
Adm1;FYNS STORKREDS;HELE LANDET;FYNS STORKREDS;;380491;220085;6299;213786;38750;11870;17552;36862;13482;12949;15468;31031;17190;13504;5128;0
Adm1;SYDJYLLANDS STORKREDS;HELE LANDET;SYDJYLLANDS STORKREDS;;526989;293316;8354;284962;46586;11905;24364;31351;23027;14706;24916;64710;30568;8580;4249;0
Adm1;ØSTJYLLANDS STORKREDS;HELE LANDET;ØSTJYLLANDS STORKREDS;;611000;360399;9181;351218;50842;25742;28985;58241;27756;23839;22866;52328;25040;23884;11695;0
Adm1;VESTJYLLANDS STORKREDS;HELE LANDET;VESTJYLLANDS STORKREDS;;387503;229086;5529;223557;30540;9185;20466;28850;17451;11460;17042;46839;32129;6915;2680;0
Adm1;NORDJYLLANDS STORKREDS;HELE LANDET;NORDJYLLANDS STORKREDS;;448350;234573;5731;228842;40332;10143;14090;27213;14999;10844;15735;40172;39900;11223;4191;0
Adm2;1. ØSTERBRO;HELE LANDET;KØBENHAVNS STORKREDS;1. ØSTERBRO;57610;37793;675;37118;3046;4284;2834;9967;2607;1976;1434;3144;402;5319;2105;0
Adm2;2. SUNDBYVESTER;HELE LANDET;KØBENHAVNS STORKREDS;2. SUNDBYVESTER;54071;32578;721;31857;2869;3395;2071;8977;1998;1482;1367;2353;565;5027;1753;0
Adm2;3. INDRE BY;HELE LANDET;KØBENHAVNS STORKREDS;3. INDRE BY;42850;27033;435;26598;1751;3029;2025;6623;2045;1395;895;2161;243;4495;1936;0
Adm2;4. SUNDBYØSTER;HELE LANDET;KØBENHAVNS STORKREDS;4. SUNDBYØSTER;43041;26312;550;25762;2548;2632;1605;7319;1451;1183;1158;1800;517;4044;1505;0
Adm2;5. NØRREBRO;HELE LANDET;KØBENHAVNS STORKREDS;5. NØRREBRO;55073;34679;679;34000;2013;3884;1456;9132;1278;1176;1096;1503;254;8936;3272;0
Adm2;6. BISPEBJERG;HELE LANDET;KØBENHAVNS STORKREDS;6. BISPEBJERG;36517;20878;472;20406;1718;1993;1019;5776;760;649;922;955;349;4823;1442;0
Adm2;7. BRØNSHØJ;HELE LANDET;KØBENHAVNS STORKREDS;7. BRØNSHØJ;55167;33450;731;32719;3569;3235;2090;9958;1429;1289;1605;2053;644;5285;1562;0
Adm2;8. VALBY;HELE LANDET;KØBENHAVNS STORKREDS;8. VALBY;42481;25615;617;24998;2467;2543;1678;7252;1462;1084;1133;1888;487;3769;1235;0
Adm2;9. VESTERBRO;HELE LANDET;KØBENHAVNS STORKREDS;9. VESTERBRO;52846;34596;596;34000;2223;3954;1877;10170;1934;1325;1049;1724;356;6806;2582;0
Adm2;10. FALKONER;HELE LANDET;KØBENHAVNS STORKREDS;10. FALKONER;38628;26296;413;25883;2087;3000;2598;6670;1658;1373;944;2329;315;3493;1416;0
Adm2;11. SLOTS;HELE LANDET;KØBENHAVNS STORKREDS;11. SLOTS;37340;23856;430;23426;2251;2353;2549;6002;1465;1112;1011;2167;432;3120;964;0
Adm2;12. TÅRNBY;HELE LANDET;KØBENHAVNS STORKREDS;12. TÅRNBY;41113;25982;520;25462;3965;1669;2243;7042;1316;1229;1878;2362;1301;2018;439;0
Adm2;1. GENTOFTE;HELE LANDET;KØBENHAVNS OMEGNS STORKREDS;1. GENTOFTE;51400;32123;610;31513;2355;2722;5278;3495;4009;2931;1470;5639;480;1957;1177;0
Adm2;2. LYNGBY;HELE LANDET;KØBENHAVNS OMEGNS STORKREDS;2. LYNGBY;39666;28870;582;28288;3187;3825;3860;6095;1968;2944;1111;2880;339;1741;338;0
Adm2;3. GLADSAXE;HELE LANDET;KØBENHAVNS OMEGNS STORKREDS;3. GLADSAXE;46105;25879;626;25253;4106;2306;1975;4710;1630;1775;1743;2796;722;2515;975;0
